Date	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	O_U	O_V	O_Pa	O_ta	O_td	O_RH	O_RN_ACC	O_radiation	O_PM2_5	O_O3	O_NO2	O_CO	O_SO2	O_PM10	f_Ta	f_Pa	f_RH	f_MH	f_U	f_V	f_RN_ACC	f_850hpa_gpm	f_850hpa_U	f_850hpa_V	f_850hpa_RH	f_850hpa_Ta	f_925hpa_gpm	f_925hpa_U	f_925hpa_V	f_temp_850_925	Target
20160101	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.28140656993427904	0.5046833945302712	0.885782440819132	0.29503665043814936	0.4553350430086315	0.8617235023152294	0.0	0.0	0.49541284403669733	0.003262642740619912	0.6228419654714477	0.837394564198688	0.4307692307692308	0.30038022813688214	0.404054568452101	0.6702423375760921	0.47998900376735565	0.06877360826827715	0.603312083856932	0.38016374790518553	0.0001748976524848427	0.420129289085104	0.6166072047226931	0.3429820085926481	0.19991133483968768	0.45751086171797983	0.42539049528744044	0.6649467997575456	0.3724814864663109	0.4800638468954646	0.3211009174311926
20160102	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4642857142857143	0.3074215908106255	0.5413667185367083	0.7321446620979637	0.40819188347289315	0.5083746794358815	0.6933868964381177	0.0	0.0	0.22018348623853212	0.12398042414355628	0.39176626826029215	0.27507029053420806	0.4000000000000001	0.13688212927756654	0.4033299592204604	0.6406560088544528	0.44596298417105446	0.1583162396422803	0.6586276044986296	0.37168695070573887	0.0006821872139019885	0.3955555010084033	0.6848205702381307	0.3572051054882296	0.2704820606273571	0.4471184758462221	0.3921186588703041	0.6883715276370856	0.3227992448228666	0.49469542710612746	0.8623853211009174
20160103	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714286	0.5205258326868036	0.39827185134806486	0.6189378777771047	0.47969488347299755	0.6228286317262633	0.8997996393989421	0.0	0.0	0.3211009174311927	0.05057096247960847	0.50464807436919	0.534832864729772	0.38461538461538464	0.22053231939163498	0.31282933873646546	0.765146191477586	0.14190903009423234	0.3417247413526734	0.6566631223058653	0.19121375709637675	0.0	0.26649360379235454	0.6967415619486387	0.29194943673005763	0.17972111334022497	0.3246838177788921	0.27075169023213175	0.7151996735298716	0.22669042714185658	0.6288669176271037	0.11009174311926603
20160104	0.6071428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3928571428571428	0.6480707890795792	0.3608489602503491	0.6522934481573579	0.43353032520907897	0.542803917116728	0.7515031055698976	0.0	0.0	0.8623853211009176	0.5725938009787928	0.20318725099601595	0.48953452046235546	0.6769230769230768	0.5779467680608364	0.3413050306145265	0.7551900121748735	0.3479274092891466	0.026731227718927334	0.5504378203451958	0.4541627521481395	8.766474927018404e-06	0.32130549064168673	0.6944988333222439	0.29534805939350456	0.26435956786970716	0.2927768621962858	0.3451734891241	0.7229616083367307	0.26958235056605195	0.2939287443043848	0.20183486238532106
20160105	0.6428571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3571428571428571	0.2820158037775218	0.33226999311923244	0.7574140335981557	0.2745576358799664	0.3120349726613242	0.43086195159841617	0.0	0.0	0.11009174311926606	0.32626427406199027	0.09561752988047813	0.1027803811308966	0.38461538461538464	0.06844106463878327	0.3042178829120239	0.7466553624792465	0.21530688044422827	0.3052501560966702	0.6611297101262298	0.27689763263853645	0.0	0.2599737400581616	0.6993268372593512	0.2572571044541214	0.2997572944459653	0.25755205166781164	0.27053103392236877	0.7258527460950518	0.21223703697166227	0.3910882375296531	0.2201834862385321
20160106	0.6785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3214285714285714	0.2756705783344127	0.4970249644031958	0.7624679078981942	0.25616123297247423	0.29342457391492066	0.42885794434551333	0.0	0.0	0.2018348623853211	0.07177814029363784	0.4169986719787517	0.2776476101218369	0.523076923076923	0.13688212927756654	0.2892564945982895	0.7037668267847259	0.2323687302477501	0.14966061003442296	0.5541607470963135	0.37142863267765935	0.0	0.25904021667813576	0.7118650095330307	0.31563333155241274	0.5637207292607286	0.2330812729758485	0.2723172383523222	0.701349500826512	0.29597383503924823	0.2988542762618362	0.09174311926605504
20160107	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.4159524257177089	0.37244732750918086	0.7281015626579342	0.24748368442098767	0.337159010968969	0.573146463668752	0.0	0.0	0.22018348623853212	0.29200652528548127	0.15139442231075698	0.26101218369259604	0.4769230769230769	0.16349809885931557	0.27820492358743865	0.7638745146651903	0.20492098098766506	0.23027837492845857	0.6216941069000271	0.31884858758454965	0.0	0.24199516899733173	0.6413784005157701	0.2630912827461873	0.2743857792523525	0.23235865408473716	0.2528184664778362	0.6814024075104669	0.2537646698012255	0.332000856092458	0.20183486238532106
20160108	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5212644983076286	0.49420568158540595	0.6836274688175953	0.22249234461269965	0.3064518530374031	0.5531063915004444	0.0	0.0	0.09174311926605504	0.23001631321370308	0.16334661354581678	0.14745392064979695	0.3692307692307692	0.06844106463878327	0.352092447847766	0.7514888854454879	0.4651031486450571	0.1629241322327737	0.6478038891432801	0.2705248947300443	0.00040010537043754635	0.3122263226339647	0.7003859099283474	0.3626838824929052	0.5002736566411021	0.2814915787192433	0.32866897298763653	0.7336922051535643	0.2924070670497958	0.2563896900865293	0.15596330275229356
20160109	0.7857142857142858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2142857142857142	0.35211955148177554	0.4516173064871042	0.7190045889178641	0.25616123297247423	0.32785381159576726	0.5430863554764106	0.0	0.0	0.2018348623853211	0.1859706362153344	0.2815405046480744	0.2573414557950641	0.44615384615384623	0.13688212927756654	0.2771690055015682	0.8055211245157696	0.1137197805248087	0.3219928740560774	0.6462911492779247	0.2406344976759417	0.0	0.2332614077987408	0.6576364049346912	0.2053227213953336	0.24557133868048264	0.22830068124946412	0.241425115054791	0.6677275429815125	0.17497609120570687	0.3650824289023214	0.12844036697247704
20160110	0.8214285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1785714285714286	0.4387893898809205	0.3001794186164509	0.7149614894778349	0.3554323883081788	0.4525434831966709	0.6232466440294011	0.0	0.0	0.1559633027522936	0.1631321370309951	0.3187250996015937	0.19954701655732582	0.49230769230769234	0.1026615969581749	0.21672195830552352	0.7670024039845025	0.171421521175925	0.17498219634798173	0.6568826390378543	0.25279795403546895	0.0	0.20905441422908194	0.5071549352648713	0.2950077274338285	0.05262655215104947	0.23845974714396145	0.21072493635437134	0.6191868181483654	0.2597342072638117	0.43545202881911244	0.24770642201834858
