Date	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	O_U	O_V	O_Pa	O_ta	O_td	O_RH	O_RN_ACC	O_radiation	O_PM2_5	O_O3	O_NO2	O_CO	O_SO2	O_PM10	f_PM2_5	f_Ta	f_Pa	f_RH	f_MH	f_U	f_V	f_RN_ACC	f_850hpa_gpm	f_850hpa_U	f_850hpa_V	f_850hpa_RH	f_850hpa_Ta	f_925hpa_gpm	f_925hpa_U	f_925hpa_V	f_temp_850_925	Target
20190101	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.6125292796011051	0.5099949980762906	0.9235854205834195	0.20999667470855563	0.28039729479243813	0.4949901823686644	0.0	0.0	0.23853211009174313	0.02283849918433931	0.5099601593625498	0.5090596688534833	0.21538461538461537	0.14068441064638784	0.09053505623696656	0.1955401399479579	0.8943739191105297	0.25624654215385273	0.24727595136427796	0.6532823629580561	0.30475219644632395	0.0	0.21192636234918108	0.6244225677081088	0.3310488556250924	0.1471028612019587	0.21860173583411832	0.22828027297989176	0.623321087120211	0.2589736233114057	0.3712730505585137	0.22222222222222224
20190102	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4642857142857143	0.5460837484559374	0.49037596746777345	0.9076151777952989	0.1856994693634427	0.24503753717427149	0.4529060308993864	0.0	0.0	0.13761467889908258	0.15660685154975532	0.3107569721115538	0.3007653858169323	0.24615384615384625	0.07604562737642587	0.11173558757307173	0.197905610596922	0.9408226430206701	0.16522868412508715	0.1263605890895386	0.5908846339650151	0.3054054760798267	0.0	0.23157546276480193	0.5796956637730595	0.3009144821593992	0.07561415271425431	0.287627661953632	0.23083373180819236	0.6215685001566772	0.19117534088491037	0.5417818685542546	0.1717171717171717
20190103	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714286	0.5799851837339175	0.48194541460504486	0.922776800695414	0.20270753393113825	0.24565726345252661	0.41482949305431144	0.0	0.0	0.1743119266055046	0.06688417618270802	0.4077025232403719	0.37324273664479857	0.24615384615384625	0.10646387832699619	0.1347732450889499	0.21651744117013733	0.9622756817567867	0.12020512524232393	0.08127346911113378	0.4886483400879205	0.360867265414578	0.0	0.2688938560010251	0.5377747314828469	0.3421342660347718	0.0855718574152126	0.3763042533848253	0.25094504399721207	0.5608201606031127	0.20762460089891466	0.6512282040534774	0.1919191919191919
20190104	0.6071428571428572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3928571428571428	0.4294912198563303	0.4661322474648936	0.9126690520953373	0.24991346743384849	0.2642676621989302	0.3607212983080969	0.0	0.0	0.27522935779816515	0.0032626427406199357	0.7104913678618858	0.7807716338644174	0.43076923076923085	0.1673003802281369	0.3332667864726572	0.26426255637463586	0.8460887478805168	0.40311807449542914	0.06550720262341488	0.5349604126228337	0.4653553056720178	0.0	0.3090018412206269	0.653255249930335	0.39098871315661254	0.3198590646348974	0.32434919073525004	0.31191832316457346	0.6650705865453871	0.28327593117041755	0.3139490298607051	0.47474747474747475
20190105	0.6428571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3571428571428571	0.5814841885599707	0.4011318715325986	0.7661066973942231	0.3092678994785326	0.4178040101687219	0.6733464235084474	0.0	0.0	0.7339449541284404	0.22349102773246335	0.33731739707835323	0.548734770384255	0.43076923076923085	0.38022813688212925	0.08903418106459396	0.21304128203115733	0.7894178293898657	0.07105946835988346	0.12374754248430396	0.6102709259618175	0.2136449195810019	0.0	0.2442640490738416	0.5760387324807553	0.20349772463193128	0.04161569930990768	0.33292018230628206	0.23685020990777397	0.5427212561169297	0.08473987653360476	0.6594973657847103	0.1414141414141414
20190106	0.6785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3214285714285714	0.5153227672381819	0.47781785038679764	0.7873329694543835	0.22596343345090575	0.1904476545314459	0.23847765992879358	0.0	0.0	0.1743119266055046	0.08319738988580752	0.3559096945551129	0.3277881911902531	0.32307692307692315	0.17870722433460076	0.1421957087987286	0.22442126065860485	0.807732505653031	0.14428473373093198	0.10453587056578115	0.566193025948993	0.37881960994985253	0.0	0.2674105171227576	0.5222808094524444	0.40433841871107395	0.0645668010756919	0.3496960705095855	0.25310375327394674	0.5636924914031993	0.29664159918752603	0.5245490445213397	0.22222222222222224
20190107	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.5067873425051856	0.494976974028784	0.8022924373824973	0.24852499024633298	0.2946658875113058	0.44488960124665283	0.0	0.0	0.2018348623853211	0.004893964110929843	0.6042496679946879	0.5374101843174008	0.33846153846153854	0.12547528517110265	0.37268487258927235	0.2565432814314378	0.7970509757668108	0.24020452237607168	0.1489594587302083	0.6134626009933728	0.36858183726639177	0.0	0.2823098165579956	0.6577125223296203	0.31879348478580255	0.16097574027265832	0.3353881634587131	0.2866071735053993	0.6147777049059655	0.23382359762707725	0.5180570148316752	0.40404040404040403
20190108	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5265203444172692	0.45069907727979874	0.7796510805183252	0.2797641650066931	0.2487596169235522	0.27054097373107266	0.0	0.0	0.18348623853211013	0.2446982055464927	0.2602921646746348	0.25905966885348336	0.3846153846153847	0.11026615969581749	0.06413505095650021	0.19543307593696088	0.8161503244076308	0.08214278761587118	0.2540213846370393	0.7314629731947511	0.18153007815958647	0.0	0.20567152871945424	0.7369948443983484	0.20789697374633298	0.15927144222667797	0.20786352220604656	0.22043317875968024	0.6821478941097027	0.12056908519858663	0.32444642007980645	0.1313131313131313
20190109	0.7857142857142858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2142857142857142	0.5030321517961773	0.40956553209744145	0.9009440637192473	0.18465816353809747	0.1343056646331703	0.19438910044525032	0.0	0.0	0.09174311926605506	0.2446982055464927	0.1301460823373174	0.14792252421118401	0.276923076923077	0.1140684410646388	0.11887119644113883	0.19025133880325795	0.9048479326952641	0.1164470077424354	0.09781279373419649	0.5628383922828962	0.3841499863976537	0.0	0.2481831575846879	0.49678326922942834	0.4321634985539232	0.0	0.3608852085648654	0.21997863802224452	0.529299921124641	0.340768330793534	0.6256190828833332	0.22222222222222224
20190110	0.8214285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1785714285714286	0.6258200105866688	0.49838858797722535	0.7917803788384178	0.26206196597582243	0.17772930802815376	0.16232458423864357	0.0	0.0	0.25688073394495414	0.017944535073409464	0.47675962815405043	0.3919087785067166	0.3846153846153847	0.19011406844106465	0.18735148688410072	0.2636054811943681	0.745271712291306	0.45290992864198737	0.09924307235897162	0.561106595196288	0.48903898620543174	0.0	0.29941297615754087	0.5992716095327109	0.36092925862298053	0.23407987526506693	0.33566278821675577	0.30545153521253776	0.6597315477410617	0.2857972413092356	0.4333598979018376	0.3131313131313131
